,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-07-15,0.45,0.45,0.431,0.44,0.44,3936535.0
1,2019-07-16,0.45,0.45,0.436,0.44,0.44,1057279.0
2,2019-07-17,0.45,0.468,0.4320000000000001,0.45,0.45,6915581.0
3,2019-07-18,0.456,0.44,0.44,0.44,0.44,4276070.0
4,2019-07-19,0.42,0.43,0.401,0.425,0.425,4687610.0
5,2019-07-22,0.421,0.426,0.401,0.41,0.41,6524568.0
6,2019-07-23,0.417,0.417,0.4,0.41,0.41,4981178.0
7,2019-07-24,0.401,0.41,0.4,0.405,0.405,3717986.0
8,2019-07-25,0.41,0.417,0.4,0.41,0.41,8250776.0
9,2019-07-26,0.411,0.411,0.4,0.405,0.405,7219786.0
10,2019-07-29,0.405,0.406,0.392,0.4,0.4,10844425.0
11,2019-07-30,0.395,0.412,0.396,0.405,0.405,4545619.0
12,2019-07-31,0.405,0.407,0.395,0.4,0.4,6210623.0
13,2019-08-01,0.4,0.404,0.397,0.4,0.4,2155590.0
14,2019-08-02,0.4,0.41,0.397,0.405,0.405,1501747.0
15,2019-08-05,0.405,0.418,0.402,0.405,0.405,120300.0
16,2019-08-06,0.405,0.42,0.397,0.41,0.41,3276093.0
17,2019-08-07,0.41,0.42,0.4,0.41,0.41,4378453.0
18,2019-08-08,0.42,0.47,0.433,0.46,0.46,9977535.0
19,2019-08-09,0.46,0.47,0.443,0.455,0.455,3633546.0
20,2019-08-12,0.475,0.53,0.46,0.48,0.48,29946673.0
21,2019-08-13,0.48,0.487,0.442,0.45,0.45,7469794.0
22,2019-08-14,0.45,0.467,0.442,0.47,0.47,13926832.0
23,2019-08-15,0.47,0.458,0.44,0.45,0.45,6677842.0
24,2019-08-16,0.45,0.45,0.412,0.42,0.42,12894952.0
25,2019-08-19,0.42,0.424,0.4,0.41,0.41,5884312.0
26,2019-08-20,0.41,0.41,0.4,0.41,0.41,16716256.0
27,2019-08-21,0.41,0.42,0.4,0.41,0.41,8869165.0
28,2019-08-22,0.41,0.409,0.391,0.395,0.395,5354063.0
29,2019-08-23,0.395,0.418,0.398,0.415,0.415,17574204.0
30,2019-08-27,0.415,0.419,0.405,0.41,0.41,14150421.0
31,2019-08-28,0.41,0.41,0.4,0.41,0.41,5024470.0
32,2019-08-29,0.41,0.414,0.402,0.41,0.41,4936888.0
33,2019-08-30,0.41,0.42,0.402,0.41,0.41,2475347.0
34,2019-09-02,0.41,0.415,0.4,0.41,0.41,4798133.0
35,2019-09-03,0.41,0.41,0.4,0.41,0.41,1149339.0
36,2019-09-04,0.41,0.409,0.383,0.405,0.405,1956277.0
37,2019-09-05,0.405,0.41,0.392,0.405,0.405,2522348.0
38,2019-09-06,0.405,0.404,0.384,0.4,0.4,1700920.0
39,2019-09-09,0.4,0.4,0.381,0.39,0.39,2158873.0
40,2019-09-10,0.39,0.399,0.382,0.39,0.39,2987654.0
41,2019-09-11,0.39,0.4,0.382,0.39,0.39,212153.0
42,2019-09-12,0.39,0.4,0.382,0.39,0.39,3233416.0
43,2019-09-13,0.39,0.425,0.4,0.415,0.415,8632861.0
44,2019-09-16,0.415,0.418,0.4,0.415,0.415,7380535.0
45,2019-09-17,0.415,0.417,0.397,0.41,0.41,3916528.0
46,2019-09-18,0.41,0.403,0.391,0.4,0.4,4469218.0
47,2019-09-19,0.4,0.406,0.392,0.405,0.405,13141176.0
48,2019-09-20,0.405,0.411,0.395,0.4,0.4,2783609.0
49,2019-09-23,0.4,0.411,0.396,0.4,0.4,9326809.0
50,2019-09-24,0.4,0.41,0.39,0.4,0.4,426969.0
51,2019-09-25,0.4,0.407,0.385,0.4,0.4,1621893.0
