,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-07-15,345.0,357.0,345.0,354.0,348.883179,22315.0
1,2019-07-16,344.0,356.0,344.0,356.0,350.854279,62753.0
2,2019-07-17,356.0,356.0,342.0,348.0,342.96991,38418.0
3,2019-07-18,355.0,356.0,338.0,338.0,333.114441,25917.0
4,2019-07-19,341.0,351.0,338.0,345.0,340.013275,19785.0
5,2019-07-22,348.0,348.0,338.0,340.0,335.0855410000001,42998.0
6,2019-07-23,345.0,348.0,340.0,340.0,335.0855410000001,16853.0
7,2019-07-24,336.0,348.0,334.0,334.0,329.172272,34765.0
8,2019-07-25,337.0,339.0,337.0,337.0,332.12890600000014,10829.0
9,2019-07-26,342.0,344.0,337.0,342.0,337.056641,52631.0
10,2019-07-29,348.0,348.0,325.0,333.0,328.186707,46750.0
11,2019-07-30,322.0,335.0,320.0,335.0,330.157806,33930.0
12,2019-07-31,335.0,343.0,320.0,340.0,335.0855410000001,415763.0
13,2019-08-01,340.0,344.0,331.0,340.0,335.0855410000001,229352.0
14,2019-08-02,332.0,348.700012,332.0,343.0,338.042175,1471465.0
15,2019-08-05,341.0,346.0,335.0,335.0,330.157806,96926.0
16,2019-08-06,331.0,345.0,331.0,337.0,332.12890600000014,222638.0
17,2019-08-07,344.0,345.01001,335.0,338.0,333.114441,138499.0
18,2019-08-08,332.0,345.0,332.0,336.0,331.143341,82496.0
19,2019-08-09,335.0,339.700012,333.0,339.0,334.099976,62219.0
20,2019-08-12,280.0,280.0,255.0,256.0,252.299698,548593.0
21,2019-08-13,258.0,275.227997,258.0,260.0,256.241882,131834.0
22,2019-08-14,264.0,264.0,240.0,245.0,241.458694,98997.0
23,2019-08-15,235.0,244.449997,210.0,231.0,227.661057,351275.0
24,2019-08-16,232.0,232.0,220.0,229.0,225.689957,33401.0
25,2019-08-19,225.0,229.0,216.0,217.0,213.863419,48636.0
26,2019-08-20,219.0,223.0,210.0,217.0,213.863419,163708.0
27,2019-08-21,216.0,220.0,215.0,215.0,211.892319,108078.0
28,2019-08-22,218.0,220.0,208.0,210.0,206.9646,68757.0
29,2019-08-23,221.0,221.0,210.0,214.0,210.906784,126949.0
30,2019-08-27,207.0,223.0,206.0,220.0,216.820053,185866.0
31,2019-08-28,224.0,230.0,219.800003,220.0,216.820053,69794.0
32,2019-08-29,222.0,227.649994,210.0,212.0,208.935684,81279.0
33,2019-08-30,213.0,216.0,210.0,210.0,206.9646,103184.0
34,2019-09-02,218.0,218.0,208.0,209.0,205.97905,34382.0
35,2019-09-03,209.0,215.917007,204.0,204.0,201.051315,33583.0
