,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-07-15,0.943,0.975,0.9359999999999999,0.95,0.95,33396184.0
1,2019-07-16,0.96,0.96,0.915,0.925,0.925,29021638.0
2,2019-07-17,0.922,1.064,0.92,1.0,1.0,125213043.0
3,2019-07-18,0.966,0.94,0.94,0.975,0.975,27290408.0
4,2019-07-19,1.0,1.05,0.95,0.975,0.975,39419149.0
5,2019-07-22,0.987,1.0,0.9279999999999999,0.975,0.975,42821901.0
6,2019-07-23,0.951,1.0,1.0,0.925,0.925,25317909.0
7,2019-07-24,0.9490000000000001,0.95,0.927,0.925,0.925,20115207.0
8,2019-07-25,0.938,0.955,0.9179999999999999,0.925,0.925,20968730.0
9,2019-07-26,0.9179999999999999,0.945,0.855,0.925,0.925,51163994.0
10,2019-07-29,0.925,0.938,0.9,0.925,0.925,19847485.0
11,2019-07-30,0.9,0.96,0.88,0.925,0.925,23755108.0
12,2019-07-31,0.925,0.938,0.9,0.925,0.925,17582296.0
13,2019-08-01,0.975,0.951,0.9,0.925,0.925,51552801.0
14,2019-08-02,0.925,0.95,0.889,0.925,0.925,22774911.0
15,2019-08-05,0.925,0.95,0.86,0.9,0.9,27992078.0
16,2019-08-06,0.9,0.92,0.86,0.875,0.875,28022312.0
17,2019-08-07,0.9,0.9179999999999999,0.8,0.825,0.825,75576650.0
18,2019-08-08,0.825,0.92,0.8079999999999999,0.875,0.875,37103454.0
19,2019-08-09,0.875,1.115,0.873,1.075,1.075,284056626.0
20,2019-08-12,1.075,1.188,1.028,1.05,1.05,100592416.0
21,2019-08-13,1.05,1.058,0.976,1.025,1.025,34186042.0
22,2019-08-14,1.025,1.15,0.986,1.05,1.05,56641956.0
23,2019-08-15,1.05,1.08,1.0,1.05,1.05,26924937.0
24,2019-08-16,1.05,1.1179999999999999,1.041,1.075,1.075,60952871.0
25,2019-08-19,1.075,1.104,1.022,1.09,1.09,37007470.0
26,2019-08-20,1.075,1.15,1.05,1.075,1.075,40971414.0
27,2019-08-21,1.05,1.1079999999999999,1.031,1.08,1.08,31115568.0
