,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-07-15,47.0,47.0,47.0,47.0,47.0,0.0
1,2019-07-16,47.0,47.0,47.0,47.0,47.0,0.0
2,2019-07-17,46.98,46.98,46.0,47.0,47.0,19977.0
3,2019-07-18,46.700001,46.700001,46.0,47.0,47.0,21645.0
4,2019-07-19,47.0,47.0,47.0,47.0,47.0,0.0
5,2019-07-22,47.959999,47.959999,47.959999,47.0,47.0,2064.0
6,2019-07-23,47.0,47.0,47.0,47.0,47.0,0.0
7,2019-07-24,47.0,47.0,47.0,47.0,47.0,0.0
8,2019-07-25,47.0,47.0,47.0,47.0,47.0,0.0
9,2019-07-26,46.700001,46.700001,46.700001,47.0,47.0,1049.0
10,2019-07-29,47.0,47.0,47.0,47.0,47.0,0.0
11,2019-07-30,47.0,47.0,47.0,47.0,47.0,0.0
12,2019-07-31,46.5,46.700001,46.700001,47.0,47.0,1045.0
13,2019-08-01,47.0,47.0,47.0,47.0,47.0,0.0
14,2019-08-02,47.0,46.0,44.75,46.0,46.0,22815.0
15,2019-08-05,46.0,46.0,46.0,46.0,46.0,320.0
16,2019-08-06,46.0,46.400002,45.0,46.0,46.0,30000.0
17,2019-08-07,46.0,46.0,46.0,46.0,46.0,0.0
18,2019-08-08,46.799999,46.799999,46.799999,46.0,46.0,6500.0
19,2019-08-09,46.0,45.66,45.66,45.0,45.0,1213.0
20,2019-08-12,45.0,43.400002,43.400002,45.0,45.0,909.0
21,2019-08-13,45.0,46.599998,46.549999,45.0,45.0,6645.0
22,2019-08-14,45.0,45.0,45.0,45.0,45.0,0.0
23,2019-08-15,45.0,43.599998,43.599998,45.0,45.0,300.0
24,2019-08-16,45.0,45.0,45.0,45.0,45.0,0.0
25,2019-08-19,45.0,45.0,45.0,45.0,45.0,0.0
26,2019-08-20,45.0,45.0,45.0,45.0,45.0,0.0
27,2019-08-21,45.0,45.0,45.0,45.0,45.0,0.0
28,2019-08-22,45.0,46.5,46.5,45.0,45.0,189.0
29,2019-08-23,45.0,45.0,45.0,45.0,45.0,0.0
30,2019-08-27,45.0,43.700001,43.700001,45.0,45.0,320.0
31,2019-08-28,45.0,46.5,43.0,45.0,45.0,3900.0
32,2019-08-29,45.0,46.5,46.5,45.0,45.0,504.0
33,2019-08-30,45.0,45.0,45.0,45.0,45.0,0.0
34,2019-09-02,45.0,45.0,45.0,45.0,45.0,0.0
35,2019-09-03,45.0,45.0,45.0,45.0,45.0,0.0
36,2019-09-04,45.0,43.700001,43.700001,45.0,45.0,3278.0
37,2019-09-05,45.0,46.5,46.5,45.0,45.0,412.0
38,2019-09-06,45.0,45.0,45.0,45.0,45.0,0.0
39,2019-09-09,45.0,45.0,45.0,45.0,45.0,0.0
40,2019-09-10,45.0,43.700001,43.700001,45.0,45.0,214.0
41,2019-09-11,45.0,45.0,45.0,45.0,45.0,0.0
42,2019-09-12,45.0,45.0,45.0,45.0,45.0,0.0
43,2019-09-13,45.0,43.700001,43.700001,45.0,45.0,5000.0
44,2019-09-16,45.0,45.0,45.0,45.0,45.0,0.0
45,2019-09-17,45.0,45.0,45.0,45.0,45.0,0.0
46,2019-09-18,45.0,45.0,45.0,45.0,45.0,0.0
47,2019-09-19,45.0,45.0,45.0,45.0,45.0,0.0
48,2019-09-20,45.0,43.0,43.0,45.0,45.0,1177.0
49,2019-09-23,45.0,46.52,46.52,45.0,45.0,21000.0
50,2019-09-24,45.0,45.0,45.0,45.0,45.0,0.0
51,2019-09-25,45.0,45.0,45.0,45.0,45.0,0.0
52,2019-09-26,45.0,43.0,43.0,45.0,45.0,12500.0
53,2019-09-27,45.0,45.0,45.0,45.0,45.0,0.0
54,2019-09-30,44.0,44.400002,44.400002,44.0,44.0,11000.0
55,2019-10-01,44.0,43.599998,43.0,44.0,44.0,3000.0
56,2019-10-02,44.0,44.0,44.0,44.0,44.0,0.0
57,2019-10-03,44.0,44.0,44.0,44.0,44.0,0.0
58,2019-10-04,44.0,43.599998,43.599998,44.0,44.0,9000.0
59,2019-10-07,44.0,44.0,44.0,44.0,44.0,0.0
60,2019-10-08,44.0,44.0,44.0,44.0,44.0,0.0
61,2019-10-09,44.0,44.0,44.0,44.0,44.0,0.0
62,2019-10-10,44.0,44.0,44.0,44.0,44.0,0.0
63,2019-10-11,44.0,43.099998,43.099998,44.0,44.0,9.0
64,2019-10-14,44.0,44.0,44.0,44.0,44.0,0.0
65,2019-10-15,44.0,44.0,44.0,44.0,44.0,0.0
66,2019-10-16,44.0,44.0,44.0,44.0,44.0,0.0
67,2019-10-17,44.0,44.0,44.0,44.0,44.0,0.0
68,2019-10-18,44.0,44.0,44.0,44.0,44.0,0.0
69,2019-10-21,44.0,44.0,43.099998,44.0,44.0,903.0
